,NLDAS_ID,sw_irrigation_vol,WRM_SUPPLY_acreft_OG,sw_avail_bias_corr,RIVER_DISCHARGE_OVER_LAND_LIQ_OG
0,x100y100,0.0,0.0,0.0,0.17777821
1,x100y101,1.4334041919887561,1.4326114509805934,0.000792741008162734,2.7730417
2,x100y102,0.0,0.0,0.0,0.18108787
3,x100y103,0.0407660365541608,0.04074348917103937,2.2547383121428177e-05,0.5169722
4,x100y104,2.978939641910447,2.9772921463014184,0.0016474956090286597,0.14231905
5,x100y105,0.03437756008375385,0.034358546882940294,1.9013200813558506e-05,0.14674327
6,x100y106,0.0,0.0,0.0,0.71224195
7,x100y107,65.56405977498473,65.52779821519641,0.03626155978831491,0.557675
8,x100y108,0.0,0.0,0.0,0.19362219
9,x100y109,40.4597393553029,40.43736053475704,0.02237882054586038,0.14823572
10,x100y110,14.17434209877082,14.166504175679927,0.007837923090892929,0.11730467
11,x100y111,2349.0029332511085,2347.703704344112,1.2992289069966318,0.11675776
12,x100y112,18.164032503632697,18.15398704542911,0.010045458203588709,0.055505585
13,x100y113,0.0,0.0,0.0,0.06442842
14,x100y114,0.0,0.0,0.0,2.0017588
15,x100y115,12266.597017906608,8202.574028358791,4064.022989547817,0.00665861
16,x100y116,74.44350301724405,74.4023366780211,0.04116633922295421,18.07394
17,x100y117,0.0011298375110307826,0.00112921265401044,6.248570203425639e-07,0.07290027
18,x100y118,0.0,0.0,0.0,0.31602478
19,x100y119,0.015603800049383,0.01559517004762089,8.630001762110345e-06,0.08011079
20,x100y120,0.3609532263123712,0.36075364366233176,0.00019958265003944264,0.14299923
21,x100y121,0.7459919305353152,0.7455793986212408,0.000412531914074421,0.2252561
22,x100y122,0.0,0.0,0.0,0.16990718
23,x100y123,0.7186704019029113,0.7182729629496561,0.0003974389532551692,0.37038895
24,x100y124,55.298144680019305,55.26756142182902,0.030583258190283402,0.51184154
25,x100y125,8.500873379616463,8.496171831238048,0.00470154837841541,0.19545236
26,x100y126,0.12486886099254137,0.12479980586393646,6.905512860490293e-05,0.13789411
27,x100y127,0.0,0.0,0.0,1.8651392
28,x100y128,0.0,0.0,0.0,1.9918375
29,x100y129,0.012099507178070772,0.012092815433938815,6.691744131957084e-06,0.08219407
30,x100y130,0.0,0.0,0.0,62.326153
31,x100y131,0.0,0.0,0.0,0.09764476
32,x100y132,0.0073045939264811755,0.007300553789560011,4.040136921164804e-06,0.25771773
33,x100y133,71.27670446712207,71.23728536573734,0.03941910138473759,0.102219164
34,x100y134,281.8972222842063,281.7413080807198,0.1559142034864749,0.090980075
35,x100y135,660.9600902295437,660.5945371688485,0.36555306069510607,0.08648365
36,x100y136,2631.7654456362798,0.0,2631.7654456362798,
37,x100y137,533.9787612970867,533.6834277989789,0.2953334981078797,0.10187334
38,x100y138,6.002697273816754,5.999377557862326,0.0033197159544275934,0.10524118
39,x100y139,652.9147923890832,652.5537116975448,0.3610806915384046,0.17708509
40,x100y140,2787.8177031508667,2786.2758983348945,1.5418048159722275,0.022772258
41,x100y141,1350.9153913198727,1350.1682414160546,0.7471499038181264,0.7974486
42,x100y142,96.34596858818989,96.29268546113245,0.05328312705744054,1.428377
43,x100y143,144.67046523309034,144.59046335273223,0.08000188035811107,0.21689942
44,x100y144,10973.544305859832,10967.475256743117,6.069049116715178,4.64412
45,x100y145,12145.403022115088,12138.68659630679,6.716425808297572,182.45052
46,x100y146,49716.60412009621,49689.110486185426,27.49363391078805,6.988344e-12
47,x100y147,14601.674305109036,14593.598898543145,8.075406565891171,7.1593145e-06
48,x100y148,0.054240474269741254,0.05421047705204898,2.9997217692270817e-05,0.08283386
49,x100y149,1.1124043330066464,1.1117891786580698,0.0006151543485766187,0.052428626
50,x100y150,0.0,0.0,0.0,0.015160933
51,x100y151,5723.239693364439,5720.074850347189,3.16484301724995,24.494974
52,x100y152,59239.28506175197,48924.77247300322,10314.512588748752,0.1785793
53,x100y153,36951.904623516995,2110.617087174093,34841.287536342905,1.7701442e-06
54,x100y154,4.888998697028069,4.886294691789265,0.002704005238803653,0.059775535
55,x100y155,3.4042633950532415,3.4023808263041464,0.0018825687490950926,1.0033218
56,x100y156,0.02721330523916981,0.027198256485679525,1.50487534902842e-05,0.16320102
57,x100y157,0.08954994665658397,0.0895004228680894,4.952378849457095e-05,0.15649438
58,x100y158,170.39977959757175,170.30553099528998,0.09424860228176613,9.707198
59,x100y159,0.0,0.0,0.0,1.0565054
60,x100y160,0.0,0.0,0.0,0.45543134
61,x100y161,5695.506240216908,5692.356187372312,3.150052844595848,1.9863213
62,x100y162,12165.89177660926,12159.163321456368,6.728455152891911,0.0058513186
63,x100y163,69127.34026522812,69089.10647010896,38.23379511915846,21.03628
64,x100y164,1004.1699682703057,1003.6145810215305,0.5553872487752187,38.170975
65,x100y165,0.0,0.0,0.0,0.066711925
66,x100y166,0.0,0.0,0.0,0.08009742
67,x100y167,0.0,0.0,0.0,0.26674083
68,x100y168,0.0,0.0,0.0,0.5320221
69,x100y169,0.0,0.0,0.0,0.23331955
70,x100y170,0.0,0.0,0.0,0.38322806
71,x100y171,0.0,0.0,0.0,0.6932755
72,x100y172,0.0,0.0,0.0,0.5315172
73,x100y173,728.4029586728328,728.0001494437992,0.40280922903366445,2.5296767
74,x100y174,201.4549902571567,201.34356599791596,0.11142425924074928,0.46810263
75,x100y175,0.0,0.0,0.0,0.8712298
76,x100y176,0.0,0.0,0.0,5.178637
77,x100y177,0.0,0.0,0.0,3.827184
78,x100y178,0.0,0.0,0.0,1.6444546
