Aquifer ,m,K,WL,S,Trans,R,Q_gpm,drawdown,A_low,A_med,A_high,Days_low,Days_med,Days_high,viable,fixed_cost,Qv
22,150,100,5,0.2,5292500,0,250,0.114031246,60,40,30,80,70,80,1,0.015045843,109090.9091
23,150,100,50,0.2,3650000,0,250,0.161313297,60,40,30,80,70,80,1,0.015045843,109090.9091
24,50,1,5,0.2,16425,0,500,45.63411794,130,90,60,80,80,80,0,0,218181.8182
25,50,1,50,0.2,0,0,500,-999,130,90,60,80,80,80,0,0,218181.8182
26,50,10,5,0.2,164250,0,500,5.673866616,130,90,60,80,80,80,1,0.005015281,218181.8182
27,50,10,50,0.2,0,0,500,-999,130,90,60,80,80,80,0,0,218181.8182
28,50,100,5,0.2,1642500,0,500,0.678436973,130,90,60,80,80,80,1,0.005015281,218181.8182
29,50,100,50,0.2,0,0,500,-999,130,90,60,80,80,80,0,0,218181.8182
30,150,1,5,0.2,52925,0,500,15.91349479,130,90,60,80,80,80,1,0.015045843,218181.8182
31,150,1,50,0.2,36500,0,500,22.26820251,130,90,60,80,80,80,1,0.015045843,218181.8182
32,150,10,5,0.2,529250,0,500,1.935984875,130,90,60,80,80,80,1,0.015045843,218181.8182
33,150,10,50,0.2,365000,0,500,2.726538202,130,90,60,80,80,80,1,0.015045843,218181.8182
34,150,100,5,0.2,5292500,0,500,0.228062492,130,90,60,80,80,80,1,0.015045843,218181.8182
35,150,100,50,0.2,3650000,0,500,0.322626593,130,90,60,80,80,80,1,0.015045843,218181.8182
36,50,1,5,0.2,16425,0,750,68.45117691,160,140,90,80,80,80,0,0,327272.7273
37,50,1,50,0.2,0,0,750,-999,160,140,90,80,80,80,0,0,327272.7273
38,50,10,5,0.2,164250,0,750,8.510799925,160,140,90,80,80,80,1,0.005015281,327272.7273
39,50,10,50,0.2,0,0,750,-999,160,140,90,80,80,80,0,0,327272.7273
40,50,100,5,0.2,1642500,0,750,1.01765546,160,140,90,80,80,80,1,0.005015281,327272.7273
41,50,100,50,0.2,0,0,750,-999,160,140,90,80,80,80,0,0,327272.7273
42,150,1,5,0.2,52925,0,750,23.87024219,160,140,90,80,80,80,1,0.015045843,327272.7273
43,150,1,50,0.2,36500,0,750,33.40230377,160,140,90,80,80,80,1,0.015045843,327272.7273
44,150,10,5,0.2,529250,0,750,2.903977312,160,140,90,80,80,80,1,0.015045843,327272.7273
45,150,10,50,0.2,365000,0,750,4.089807303,160,140,90,80,80,80,1,0.015045843,327272.7273
46,150,100,5,0.2,5292500,0,750,0.342093738,160,140,90,80,80,80,1,0.015045843,327272.7273
47,150,100,50,0.2,3650000,0,750,0.48393989,160,140,90,80,80,80,1,0.015045843,327272.7273
48,50,1,5,0.2,16425,0,1000,90.46716961,160,160,120,60,70,80,0,0,327272.7273
49,50,1,50,0.2,0,0,1000,-999,160,160,120,60,70,80,0,0,327272.7273
50,50,10,5,0.2,164250,0,1000,11.26762652,160,160,120,60,70,80,1,0.005015281,327272.7273
51,50,10,50,0.2,0,0,1000,-999,160,160,120,60,70,80,0,0,327272.7273
52,50,100,5,0.2,1642500,0,1000,1.348863275,160,160,120,60,70,80,1,0.005015281,327272.7273
53,50,100,50,0.2,0,0,1000,-999,160,160,120,60,70,80,0,0,327272.7273
54,150,1,5,0.2,52925,0,1000,31.57838261,160,160,120,60,70,80,1,0.015045843,327272.7273
55,150,1,50,0.2,36500,0,1000,44.17592497,160,160,120,60,70,80,1,0.015045843,327272.7273
56,150,10,5,0.2,529250,0,1000,3.847109044,160,160,120,60,70,80,1,0.015045843,327272.7273
57,150,10,50,0.2,365000,0,1000,5.417028382,160,160,120,60,70,80,1,0.015045843,327272.7273
58,150,100,5,0.2,5292500,0,1000,0.453638914,160,160,120,60,70,80,1,0.015045843,327272.7273
59,150,100,50,0.2,3650000,0,1000,0.641648384,160,160,120,60,70,80,1,0.015045843,327272.7273
